                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 0.6702,                0.68215,                 1.1068,                0.69319,                0.52821,                0.52586,                0.37174,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     74,                0.64949,                0.62151,                 1.1143,                0.59973,                0.54992,                0.50573,                0.39537,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     75,                0.63997,                0.60299,                  1.092,                0.64328,                0.48426,                0.52713,                0.41449,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     76,                0.63009,                0.63297,                 1.0718,                0.84189,                0.51282,                0.56081,                 0.4518,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     77,                0.63733,                0.59561,                 1.1039,                0.66346,                0.48758,                0.55166,                0.44442,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     78,                0.60437,                0.58176,                 1.0736,                0.64306,                0.44274,                0.48272,                0.38573,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     79,                0.61017,                0.56613,                 1.0743,                0.60028,                0.48718,                0.49828,                0.39492,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     80,                0.58885,                0.53669,                 1.0616,                0.52344,                0.53123,                0.50108,                0.39829,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     81,                0.63239,                 0.5961,                 1.0766,                0.61288,                0.51643,                0.49515,                0.36706,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     82,                0.62831,                0.56795,                 1.1037,                0.63093,                0.45234,                0.54266,                0.41737,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
                     83,                0.58724,                0.52488,                 1.0531,                0.92656,                 0.4359,                0.54612,                0.43201,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     84,                  0.593,                0.51979,                 1.0668,                 0.8984,                 0.4359,                0.54059,                0.43492,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     85,                0.56876,                 0.5035,                 1.0405,                0.64528,                0.47534,                0.55371,                0.43356,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     86,                0.58111,                0.50341,                   1.05,                0.67219,                0.48718,                0.56489,                0.44665,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     87,                0.57461,                0.48254,                 1.0469,                0.67181,                0.48718,                0.52552,                0.40594,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     88,                0.57412,                0.50237,                 1.0611,                0.66822,                0.50372,                0.53426,                0.41664,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     89,                0.55544,                0.48781,                 1.0483,                0.76319,                0.46154,                0.52619,                0.42094,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     90,                0.51679,                0.48217,                 1.0146,                0.74255,                 0.4359,                0.52594,                0.42031,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
